Zapis binarny             | Zapis dziesiętny          | Symbol                    | Częstość                  | Prawdopodobieństwo        | Ilość informacji         
0000000001000001          | 65                        | A                         | 692                       | 0,00151467                | 9,36678333               
0000000001100100          | 100                       | d                         | 11430                     | 0,02501828                | 5,32087377               
0000000001100001          | 97                        | a                         | 30841                     | 0,06750557                | 3,88884963               
0000000001101101          | 109                       | m                         | 10248                     | 0,02243108                | 5,4783568                
0000000000100000          | 32                        | Spacja                    | 63270                     | 0,138487                  | 2,85217758               
0000000001001101          | 77                        | M                         | 580                       | 0,00126952                | 9,62150247               
0000000001101001          | 105                       | i                         | 29273                     | 0,06407349                | 3,96412857               
0000000001100011          | 99                        | c                         | 14100                     | 0,03086244                | 5,01800401               
0000000001101011          | 107                       | k                         | 12307                     | 0,02693788                | 5,21422005               
0000000001100101          | 101                       | e                         | 25252                     | 0,05527222                | 4,17730152               
0000000001110111          | 119                       | w                         | 14576                     | 0,03190432                | 4,97010431               
0000000001111010          | 122                       | z                         | 22681                     | 0,04964475                | 4,33221493               
0000000000001101          | 13                        | CR - Carriage Return      | 10824                     | 0,02369185                | 5,39946543               
0000000000001010          | 10                        | LF - Line Feed            | 10824                     | 0,02369185                | 5,39946543               
0000000001010000          | 80                        | P                         | 1257                      | 0,00275135                | 8,50564262               
0000000001101110          | 110                       | n                         | 15429                     | 0,03377139                | 4,88805462               
0000000001010100          | 84                        | T                         | 966                       | 0,00211441                | 8,88553218               
0000000001110101          | 117                       | u                         | 7663                      | 0,01677297                | 5,89771797               
0000000001110011          | 115                       | s                         | 15195                     | 0,03325921                | 4,9101025                
0000000001111001          | 121                       | y                         | 13669                     | 0,02991906                | 5,06279147               
0000000001101100          | 108                       | l                         | 6629                      | 0,01450972                | 6,10683602               
0000000001101111          | 111                       | o                         | 22961                     | 0,05025762                | 4,3145137                
0000000001110100          | 116                       | t                         | 10691                     | 0,02340073                | 5,41730237               
0000000001101010          | 106                       | j                         | 6564                      | 0,01436745                | 6,12105203               
0000000001001100          | 76                        | L                         | 309                       | 0,00067635                | 10,52994853              
0000000001001001          | 73                        | I                         | 794                       | 0,00173793                | 9,16841636               
0000000001010011          | 83                        | S                         | 1042                      | 0,00228076                | 8,77627199               
0000000001000010          | 66                        | B                         | 563                       | 0,00123231                | 9,66442044               
0000000001001110          | 78                        | N                         | 786                       | 0,00172042                | 9,18302605               
0000000000111001          | 57                        | 9                         | 3                         | 0,00000657                | 17,21644905              
0000000000110111          | 55                        | 7                         | 1                         | 0,00000219                | 18,80141156              
